"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"atrazine","ecxwb2",0.00206327999978283,"mu","identity","ec50",21.1138526855602,18.3098809445699,24.1329389815867
"atrazine","nec4param",0.00166152341246552,"mu","identity","top",0.601280225,0.586406987,0.6164040095
"atrazine","nec4param",0.00166152341246552,"mu","identity","bot",0.014712354,0.0027194981925,0.036883829425
"atrazine","nec4param",0.00166152341246552,"mu","identity","beta",-0.727685215,-0.82811991975,-0.59214747425
"atrazine","nec4param",0.00166152341246552,"mu","identity","nec",7.50131283594614,6.58856155359895,8.4548543866813
"atrazine","nec3param",0.000813306122903678,"mu","identity","top",0.601527635,0.58654764325,0.616094809
"atrazine","nec3param",0.000813306122903678,"mu","identity","beta",-0.80069814,-0.8797994825,-0.728338173
"atrazine","nec3param",0.000813306122903678,"mu","identity","nec",7.32327586232769,6.3539322153175,8.26045468786149
"atrazine","ecxll3",0.000389939772659531,"mu","identity","top",0.646454005,0.62610107675,0.66800834575
"atrazine","ecxll3",0.000389939772659531,"mu","identity","beta",-0.25238882,-0.343433245,-0.16132196375
"atrazine","ecxll3",0.000389939772659531,"mu","identity","ec50",37.5262767162709,31.7947644900459,43.8084438240373
"atrazine","ecxwb1p3",2.38420513552247e-12,"mu","identity","top",0.715868845,0.6761774855,0.7615252915
"atrazine","ecxwb1p3",2.38420513552247e-12,"mu","identity","beta",-0.94113533,-1.0660744475,-0.82306257125
"atrazine","ecxwb1p3",2.38420513552247e-12,"mu","identity","ec50",76.8468323095043,58.7523714731541,99.1194028343224
"atrazine","ecxexp",8.14530095219401e-36,"mu","identity","top",0.51863421,0.4881275465,0.54843643175
"atrazine","ecxexp",8.14530095219401e-36,"mu","identity","beta",-1.9111671,-2.0571305725,-1.78706108
"diuron","ecxll4",0.354363700008458,"mu","identity","top",0.712664395,0.6958583655,0.7303075425
"diuron","ecxll4",0.354363700008458,"mu","identity","bot",0.0187482085,0.008558038435,0.0283334629
"diuron","ecxll4",0.354363700008458,"mu","identity","beta",0.20513325,0.11786295325,0.290868308
"diuron","ecxll4",0.354363700008458,"mu","identity","ec50",1.84943203713772,1.71679081966264,1.98535168057135
