"hardness","estimate","Q50","Q2.5","Q97.5"
"5","NSEC",0.406154805205137,0.146912224011878,0.812360793137715
"5","EC10",0.51899054742062,0.17360626558281,0.967345509024734
"30","NSEC",0.502523365467098,0.221441071353062,0.920693232022575
"30","EC10",0.968503906157503,0.705939995795265,1.67755102096571
"406","NSEC",4.30979641929698,1.24777207290692,7.17906129218295
"406","EC10",8.73355226364378,5.25485587316259,14.3051851155505
