"fit","x","Estimate","Q2.5","Q97.5"
"no group term",2.89211891891892,279.079409257876,195.499089329894,407.926270090857
"no group term",2.90236756756757,279.025351915676,195.395913550563,407.863335271135
"no group term",2.91261621621622,278.972176124706,195.300088103101,407.801423213879
"no group term",2.92286486486486,278.919864480198,195.229896107192,407.740513786289
"no group term",2.93311351351351,278.862217227875,195.160954435003,407.680587320517
"no group term",2.94336216216216,278.775391770096,195.092626672325,407.621624601355
"no group term",2.95361081081081,278.678674226803,195.025371261577,407.563606854294
"no group term",2.96385945945946,278.596177224343,194.959584190463,407.506515733928
"no group term",2.97410810810811,278.522543915439,194.870156062384,407.450333312715
"no group term",2.98435675675676,278.463083340712,194.787659446962,407.394858942613
"no group term",2.9946054054054,278.40878628331,194.70271974199,407.339745678786
"no group term",3.00485405405405,278.366463439751,194.619101615947,407.285499507358
"no group term",3.0151027027027,278.326177268191,194.537330923093,407.23210389711
"no group term",3.02535135135135,278.282656407626,194.457127295035,407.179542686698
"no group term",3.0356,278.241926168219,194.38972729081,407.127800075164
"no group term",3.04584864864865,278.201831738746,194.335254893593,407.076860612718
"no group term",3.0560972972973,278.159007068304,194.257377221336,407.026709191785
"no group term",3.06634594594595,278.096862504215,194.165696762347,406.977331038314
"no group term",3.07659459459459,278.004858325215,194.119858768963,406.928711703332
"no group term",3.08684324324324,277.93414430555,194.075426350599,406.880837054738
"no group term",3.09709189189189,277.897682852837,194.031676233532,406.833693269335
"no group term",3.10734054054054,277.866228121486,193.988595734183,406.787266825086
"no group term",3.11758918918919,277.817619369292,193.945558769844,406.741544493584
"no group term",3.12783783783784,277.76830268626,193.876298205821,406.696513332743
"no group term",3.13808648648649,277.719708668916,193.808032428107,406.652160679688
