"herbicide","model","max_rhat","min_ess","min_ess_ratio","n_divergent","failed"
"ametryn","nec3param",1.00161239869851,3733.88306490675,0.466735383113344,0,FALSE
"ametryn","nec4param",1.00074557982889,3373.373998729,0.421671749841125,0,FALSE
"ametryn","ecxexp",1.00131630943399,3627.29889753046,0.453412362191308,0,FALSE
"ametryn","ecx4param",1.00150279070474,3541.68551415557,0.442710689269446,0,FALSE
"ametryn","ecxwb1",1.00223600205732,2408.69821933831,0.301087277417289,0,FALSE
"ametryn","ecxwb2",1.00156111870303,3482.63022315702,0.435328777894628,0,FALSE
"ametryn","ecxwb1p3",1.00184222966747,2970.22197276164,0.371277746595205,0,FALSE
"ametryn","ecxwb2p3",1.00075791291716,3717.3307929789,0.464666349122362,0,FALSE
"ametryn","ecxll4",1.00096992414578,3043.83686236092,0.380479607795115,0,FALSE
"ametryn","ecxll3",1.00084523792926,2688.64881658025,0.336081102072531,0,FALSE
"atrazine","nec3param",1.0007996140238,3531.89546762037,0.441486933452547,0,FALSE
"atrazine","nec4param",1.00179752365911,3165.28361624545,0.395660452030682,0,FALSE
"atrazine","ecxexp",1.00065206558544,4256.28157350182,0.532035196687728,0,FALSE
"atrazine","ecx4param",1.00195776444761,3425.90311440412,0.428237889300514,0,FALSE
"atrazine","ecxwb1",1.00190770873249,3612.25458166312,0.45153182270789,0,FALSE
"atrazine","ecxwb2",1.00066151471161,3113.67174683166,0.389208968353958,0,FALSE
"atrazine","ecxwb1p3",1.00080606943372,2604.42540024169,0.325553175030212,0,FALSE
"atrazine","ecxwb2p3",1.00077198888388,3765.71162473968,0.470713953092459,0,FALSE
"atrazine","ecxll4",1.00120779727793,3533.25088714594,0.441656360893243,0,FALSE
"atrazine","ecxll3",1.00141181600075,3331.77563173258,0.416471953966572,0,FALSE
"diuron","nec3param",1.00084939337203,3434.52693143165,0.429315866428956,0,FALSE
"diuron","nec4param",1.00175874660483,2968.45191553072,0.37105648944134,0,FALSE
"diuron","ecxexp",1.00079582215938,3489.44101631138,0.436180127038922,0,FALSE
"diuron","ecx4param",1.00213068393784,3107.79975930355,0.388474969912944,0,FALSE
"diuron","ecxwb1",1.00202736272103,3129.78322947291,0.391222903684114,0,FALSE
"diuron","ecxwb2",1.00230624619306,3161.50366474185,0.395187958092731,0,FALSE
"diuron","ecxwb1p3",1.00121265222812,1933.51873205145,0.241689841506432,0,FALSE
"diuron","ecxwb2p3",1.00246660555734,3057.94496145657,0.382243120182071,0,FALSE
"diuron","ecxll4",1.00165071090742,2841.67670639681,0.355209588299601,0,FALSE
"diuron","ecxll3",1.00133584622682,2992.75866243801,0.374094832804751,0,FALSE
"hexazinone","nec3param",1.0010779217444,3648.57741796844,0.456072177246054,0,FALSE
"hexazinone","nec4param",1.00112414812294,3704.93164463995,0.463116455579994,0,FALSE
"hexazinone","ecxexp",1.0015274884172,4198.27147684055,0.524783934605069,0,FALSE
"hexazinone","ecx4param",1.00096906898575,3394.19338245096,0.42427417280637,0,FALSE
"hexazinone","ecxwb1",1.00177176382842,3396.94867748612,0.424618584685765,0,FALSE
"hexazinone","ecxwb2",1.00225906573644,3630.10937926725,0.453763672408406,0,FALSE
"hexazinone","ecxwb1p3",1.0016824485276,3241.06815698853,0.405133519623566,0,FALSE
"hexazinone","ecxwb2p3",1.00164298864197,3705.63298632311,0.463204123290389,0,FALSE
"hexazinone","ecxll4",1.00116210648172,3342.23675786652,0.417779594733315,0,FALSE
"hexazinone","ecxll3",1.00153223755688,3918.7945679297,0.489849320991212,0,FALSE
"irgarol","nec3param",1.00136800001423,3517.38191645829,0.439672739557286,0,FALSE
"irgarol","nec4param",1.00138100015445,3467.82609164794,0.433478261455992,0,FALSE
"irgarol","ecxexp",1.00264913238933,2291.26553460343,0.286408191825429,0,FALSE
"irgarol","ecx4param",1.00190583227094,3161.81590163564,0.395226987704455,0,FALSE
"irgarol","ecxwb1",1.00236332377885,2110.42761423697,0.263803451779622,0,FALSE
"irgarol","ecxwb2",1.0010361434966,3588.33827329272,0.44854228416159,0,FALSE
"irgarol","ecxwb1p3",1.00135496632241,3009.71422341182,0.376214277926478,0,FALSE
"irgarol","ecxwb2p3",1.00069240247257,3443.31729133774,0.430414661417217,0,FALSE
"irgarol","ecxll4",1.00065627639608,3573.58289996928,0.44669786249616,0,FALSE
"irgarol","ecxll3",1.00153936181791,2276.65290551159,0.284581613188949,0,FALSE
"simazine","nec3param",1.0007455384982,3573.5586979639,0.446694837245488,0,FALSE
"simazine","nec4param",1.00130491754183,3003.60884258471,0.375451105323088,0,FALSE
"simazine","ecxexp",1.0006175986929,3950.8332984267,0.493854162303338,0,FALSE
"simazine","ecx4param",1.00155176723821,1967.98770256663,0.245998462820828,0,FALSE
"simazine","ecxwb1",1.00137234546338,1302.29976558667,0.162787470698334,0,FALSE
"simazine","ecxwb2",1.00177094123923,2696.11686884379,0.337014608605474,0,FALSE
"simazine","ecxwb1p3",1.00088361275355,3627.83145509983,0.453478931887479,0,FALSE
