"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"5",-2.1803674602698,0.879631094237913,0.81656485979154,NA,NA,NA
"5",-2.17185522571743,0.879327326528162,0.816259099040456,NA,NA,NA
"5",-2.16334299116507,0.879058550508412,0.816055423856672,NA,NA,NA
"5",-2.15483075661271,0.87873132250712,0.815649977236914,NA,NA,NA
"5",-2.14631852206035,0.878470156499545,0.81540894252526,NA,NA,NA
"5",-2.13780628750798,0.878132984039123,0.815245873976973,NA,NA,NA
"5",-2.12929405295562,0.877828360491369,0.814987232511828,NA,NA,NA
"5",-2.12078181840326,0.877566992344889,0.814791781185802,NA,NA,NA
"5",-2.11226958385089,0.877289797116396,0.814712274589696,NA,NA,NA
"5",-2.10375734929853,0.877016603784957,0.81447591874266,NA,NA,NA
"5",-2.09524511474617,0.876723001678875,0.814141434921833,NA,NA,NA
"5",-2.08673288019381,0.87645427928977,0.813811655547642,NA,NA,NA
"5",-2.07822064564144,0.876041080222413,0.813567138719472,NA,NA,NA
"5",-2.06970841108908,0.875711088151416,0.813370304308848,NA,NA,NA
"5",-2.06119617653672,0.875431149997004,0.813022077216053,NA,NA,NA
"5",-2.05268394198435,0.875065854937539,0.812677435694391,NA,NA,NA
"5",-2.04417170743199,0.87476787013761,0.812339036602137,NA,NA,NA
"5",-2.03565947287963,0.874379774105973,0.812221389667562,NA,NA,NA
"5",-2.02714723832727,0.874067514969439,0.812035666015056,NA,NA,NA
"5",-2.0186350037749,0.873681899617123,0.811605010847784,NA,NA,NA
"5",-2.01012276922254,0.873274225746929,0.8114516658872,NA,NA,NA
"5",-2.00161053467018,0.872872716027062,0.811115527771944,NA,NA,NA
"5",-1.99309830011781,0.872517640947909,0.810886282138913,NA,NA,NA
"5",-1.98458606556545,0.872208017561857,0.810593757360499,NA,NA,NA
"5",-1.97607383101309,0.871843012075037,0.810324704655323,NA,NA,NA
"5",-1.96756159646073,0.871515997106458,0.809926447607103,NA,NA,NA
"5",-1.95904936190836,0.871154497346872,0.809699794928671,NA,NA,NA
"5",-1.950537127356,0.870819893556288,0.809339723697257,NA,NA,NA
"5",-1.94202489280364,0.870404428437677,0.809090016678799,NA,NA,NA
"5",-1.93351265825127,0.869986124706607,0.808767548180741,NA,NA,NA
"5",-1.92500042369891,0.869590093293463,0.808150235271817,NA,NA,NA
"5",-1.91648818914655,0.869189312045584,0.807613570870198,NA,NA,NA
"5",-1.90797595459419,0.868800237726806,0.807330107630408,NA,NA,NA
"5",-1.89946372004182,0.868396848192125,0.806926086507693,NA,NA,NA
"5",-1.89095148548946,0.867966912534956,0.806660661818561,NA,NA,NA
"5",-1.8824392509371,0.867595679238641,0.806347013499197,NA,NA,NA
"5",-1.87392701638473,0.867189899342183,0.805969137653958,NA,NA,NA
"5",-1.86541478183237,0.866710578829501,0.805586473875038,NA,NA,NA
"5",-1.85690254728001,0.866273065659826,0.805174630287956,NA,NA,NA
"5",-1.84839031272765,0.865796736701874,0.804935340749215,NA,NA,NA
"5",-1.83987807817528,0.865309971783009,0.804640464347894,NA,NA,NA
"5",-1.83136584362292,0.864865567808365,0.804227014554844,NA,NA,NA
"5",-1.82285360907056,0.864374065542774,0.803854976483727,NA,NA,NA
"5",-1.81434137451819,0.863853095227194,0.803516753429782,NA,NA,NA
"5",-1.80582913996583,0.863271961695721,0.80312681828194,NA,NA,NA
"5",-1.79731690541347,0.86287130012207,0.802734698381839,NA,NA,NA
"5",-1.78880467086111,0.8624001394238,0.802416576589689,NA,NA,NA
"5",-1.78029243630874,0.861945708342614,0.80205808555681,NA,NA,NA
"5",-1.77178020175638,0.861463430566803,0.801824010544658,NA,NA,NA
"5",-1.76326796720402,0.860951308169786,0.80142425540996,NA,NA,NA
"5",-1.75475573265165,0.860470075591816,0.801008951098418,NA,NA,NA
"5",-1.74624349809929,0.859904904977644,0.800456523384401,NA,NA,NA
"5",-1.73773126354693,0.859383323758451,0.799933790680176,NA,NA,NA
"5",-1.72921902899457,0.858877816157587,0.799430816403611,NA,NA,NA
"5",-1.7207067944422,0.858383428408933,0.798970469197047,NA,NA,NA
"5",-1.71219455988984,0.857926896801709,0.798477302415132,NA,NA,NA
"5",-1.70368232533748,0.857361754510411,0.797983077250663,NA,NA,NA
"5",-1.69517009078512,0.856888689443278,0.79736474985739,NA,NA,NA
"5",-1.68665785623275,0.856434448704642,0.796824234400768,NA,NA,NA
"5",-1.67814562168039,0.855869313545585,0.796208819873957,NA,NA,NA
"5",-1.66963338712803,0.855438976376615,0.79571575293742,NA,NA,NA
"5",-1.66112115257566,0.854926738019652,0.795116489313664,NA,NA,NA
"5",-1.6526089180233,0.854398586534203,0.794705162976052,NA,NA,NA
"5",-1.64409668347094,0.853956351449046,0.79421870996701,NA,NA,NA
"5",-1.63558444891858,0.853437985353073,0.793441300112031,NA,NA,NA
"5",-1.62707221436621,0.852994466177559,0.79299616670977,NA,NA,NA
"5",-1.61855997981385,0.852519582243517,0.792202125329996,NA,NA,NA
"5",-1.61004774526149,0.852074210809684,0.791400759285024,NA,NA,NA
"5",-1.60153551070912,0.851593518926432,0.79058659529967,NA,NA,NA
"5",-1.59302327615676,0.851161215253359,0.789919312181402,NA,NA,NA
"5",-1.5845110416044,0.850688102973897,0.789286708829396,NA,NA,NA
"5",-1.57599880705204,0.850288789077765,0.788536665140158,NA,NA,NA
"5",-1.56748657249967,0.849880448646793,0.787831801672574,NA,NA,NA
"5",-1.55897433794731,0.849440734007046,0.786627418574841,NA,NA,NA
"5",-1.55046210339495,0.849003660060793,0.785734332055347,NA,NA,NA
"5",-1.54194986884258,0.848539127049455,0.78500510575699,NA,NA,NA
"5",-1.53343763429022,0.84807640017478,0.783988465830535,NA,NA,NA
"5",-1.52492539973786,0.847657138230907,0.782965984701553,NA,NA,NA
"5",-1.5164131651855,0.847200525799483,0.781956445413365,NA,NA,NA
"5",-1.50790093063313,0.84671072317934,0.781154805123688,NA,NA,NA
"5",-1.49938869608077,0.846273958845003,0.780220949893095,NA,NA,NA
"5",-1.49087646152841,0.845820167577172,0.779342161182557,NA,NA,NA
"5",-1.48236422697604,0.845424102720702,0.778419724601172,NA,NA,NA
"5",-1.47385199242368,0.84502552341241,0.777293807772964,NA,NA,NA
"5",-1.46533975787132,0.844561995845329,0.776079150990129,NA,NA,NA
"5",-1.45682752331896,0.844114415171762,0.774839362855869,NA,NA,NA
"5",-1.44831528876659,0.843644922218791,0.773923081825251,NA,NA,NA
"5",-1.43980305421423,0.843143243891758,0.772608176720063,NA,NA,NA
"5",-1.43129081966187,0.842679826520887,0.771745838116057,NA,NA,NA
"5",-1.4227785851095,0.842190638830882,0.770660667075105,NA,NA,NA
"5",-1.41426635055714,0.841752756459762,0.769416734245685,NA,NA,NA
