"model","waic","wi"
"nec3param",-254.219930969284,2.18653795735669e-08
"nec4param",-251.373916672653,7.13059353138674e-08
"ecxwb1",-306.111770977539,0.902023554865917
"ecxwb1p3",-293.898549762627,0.0933230786295793
"ecxwb2p3",-281.603788867744,0.0011618456632526
"ecxll3",-293.347625848288,0.00349142766993636
