"conc","rlu_cens","plate"
0.086552,684062,"Cu 19Mar24 Rep3A"
0.1707008,146974,"Cu 19Mar24 Rep3A"
0.1707008,171619,"Cu 19Mar24 Rep3A"
0.1707008,131204,"Cu 19Mar24 Rep3A"
0.1707008,147596,"Cu 19Mar24 Rep3A"
0.3389984,6896,"Cu 19Mar24 Rep3A"
0.3389984,7706,"Cu 19Mar24 Rep3A"
0.3389984,5027,"Cu 19Mar24 Rep3A"
0.3389984,5384,"Cu 19Mar24 Rep3A"
0.6744,1408,"Cu 19Mar24 Rep3A"
0.6744,999,"Cu 19Mar24 Rep3A"
0.6744,1654,"Cu 19Mar24 Rep3A"
0.6744,808,"Cu 19Mar24 Rep3A"
1.3458,114,"Cu 19Mar24 Rep3A"
1.3458,114,"Cu 19Mar24 Rep3A"
1.3458,114,"Cu 19Mar24 Rep3A"
1.3458,114,"Cu 19Mar24 Rep3A"
2.6886,573,"Cu 19Mar24 Rep3A"
2.6886,748,"Cu 19Mar24 Rep3A"
2.6886,114,"Cu 19Mar24 Rep3A"
2.6886,114,"Cu 19Mar24 Rep3A"
5.3742,114,"Cu 19Mar24 Rep3A"
5.3742,483,"Cu 19Mar24 Rep3A"
5.3742,670,"Cu 19Mar24 Rep3A"
5.3742,603,"Cu 19Mar24 Rep3A"
0.003,435297,"Cu 19Mar24 Rep4A"
0.003,428645,"Cu 19Mar24 Rep4A"
0.003,421407,"Cu 19Mar24 Rep4A"
0.003,442084,"Cu 19Mar24 Rep4A"
0.0137424,389233,"Cu 19Mar24 Rep4A"
0.0137424,413628,"Cu 19Mar24 Rep4A"
0.0137424,385477,"Cu 19Mar24 Rep4A"
0.0137424,387545,"Cu 19Mar24 Rep4A"
0.023888,371645,"Cu 19Mar24 Rep4A"
0.023888,422301,"Cu 19Mar24 Rep4A"
0.023888,363823,"Cu 19Mar24 Rep4A"
0.023888,340889,"Cu 19Mar24 Rep4A"
0.044776,376294,"Cu 19Mar24 Rep4A"
0.044776,363291,"Cu 19Mar24 Rep4A"
0.044776,393986,"Cu 19Mar24 Rep4A"
0.044776,419859,"Cu 19Mar24 Rep4A"
0.086552,317321,"Cu 19Mar24 Rep4A"
0.086552,294878,"Cu 19Mar24 Rep4A"
0.086552,292746,"Cu 19Mar24 Rep4A"
0.086552,320126,"Cu 19Mar24 Rep4A"
0.1707008,76143,"Cu 19Mar24 Rep4A"
0.1707008,75890,"Cu 19Mar24 Rep4A"
0.1707008,64460,"Cu 19Mar24 Rep4A"
0.1707008,63833,"Cu 19Mar24 Rep4A"
0.3389984,4125,"Cu 19Mar24 Rep4A"
0.3389984,4176,"Cu 19Mar24 Rep4A"
0.3389984,2999,"Cu 19Mar24 Rep4A"
0.3389984,2369,"Cu 19Mar24 Rep4A"
0.6744,1088,"Cu 19Mar24 Rep4A"
0.6744,572,"Cu 19Mar24 Rep4A"
0.6744,608,"Cu 19Mar24 Rep4A"
0.6744,223,"Cu 19Mar24 Rep4A"
1.3458,35,"Cu 19Mar24 Rep4A"
1.3458,111,"Cu 19Mar24 Rep4A"
1.3458,149,"Cu 19Mar24 Rep4A"
1.3458,172,"Cu 19Mar24 Rep4A"
2.6886,35,"Cu 19Mar24 Rep4A"
2.6886,725,"Cu 19Mar24 Rep4A"
2.6886,97,"Cu 19Mar24 Rep4A"
2.6886,35,"Cu 19Mar24 Rep4A"
5.3742,992,"Cu 19Mar24 Rep4A"
5.3742,856,"Cu 19Mar24 Rep4A"
5.3742,201,"Cu 19Mar24 Rep4A"
5.3742,860,"Cu 19Mar24 Rep4A"
0.002,255893,"Cu 1Oct24 Batch6_A1"
0.002,231725,"Cu 1Oct24 Batch6_A1"
0.002,218886,"Cu 1Oct24 Batch6_A1"
0.002,230227,"Cu 1Oct24 Batch6_A1"
0.0224768,199424,"Cu 1Oct24 Batch6_A1"
0.0224768,213710,"Cu 1Oct24 Batch6_A1"
0.0224768,226762,"Cu 1Oct24 Batch6_A1"
0.0224768,212661,"Cu 1Oct24 Batch6_A1"
0.041816,195673,"Cu 1Oct24 Batch6_A1"
0.041816,212780,"Cu 1Oct24 Batch6_A1"
0.041816,195665,"Cu 1Oct24 Batch6_A1"
0.041816,213432,"Cu 1Oct24 Batch6_A1"
0.081632,170210,"Cu 1Oct24 Batch6_A1"
0.081632,185602,"Cu 1Oct24 Batch6_A1"
0.081632,186856,"Cu 1Oct24 Batch6_A1"
0.081632,218708,"Cu 1Oct24 Batch6_A1"
0.161264,130724,"Cu 1Oct24 Batch6_A1"
0.161264,154591,"Cu 1Oct24 Batch6_A1"
0.161264,112398,"Cu 1Oct24 Batch6_A1"
0.161264,96577,"Cu 1Oct24 Batch6_A1"
0.3216656,14928,"Cu 1Oct24 Batch6_A1"
0.3216656,45364,"Cu 1Oct24 Batch6_A1"
0.3216656,32328,"Cu 1Oct24 Batch6_A1"
0.3216656,84232,"Cu 1Oct24 Batch6_A1"
0.6424688,124,"Cu 1Oct24 Batch6_A1"
0.6424688,8,"Cu 1Oct24 Batch6_A1"
0.6424688,8,"Cu 1Oct24 Batch6_A1"
0.6424688,361,"Cu 1Oct24 Batch6_A1"
1.2818,53,"Cu 1Oct24 Batch6_A1"
1.2818,1202,"Cu 1Oct24 Batch6_A1"
1.2818,815,"Cu 1Oct24 Batch6_A1"
1.2818,859,"Cu 1Oct24 Batch6_A1"
2.5616,8,"Cu 1Oct24 Batch6_A1"
2.5616,8,"Cu 1Oct24 Batch6_A1"
2.5616,8,"Cu 1Oct24 Batch6_A1"
2.5616,8,"Cu 1Oct24 Batch6_A1"
5.1212,8,"Cu 1Oct24 Batch6_A1"
5.1212,8,"Cu 1Oct24 Batch6_A1"
5.1212,106,"Cu 1Oct24 Batch6_A1"
5.1212,29,"Cu 1Oct24 Batch6_A1"
10.2404,8,"Cu 1Oct24 Batch6_A1"
10.2404,8,"Cu 1Oct24 Batch6_A1"
10.2404,8,"Cu 1Oct24 Batch6_A1"
10.2404,8,"Cu 1Oct24 Batch6_A1"
0.002,343865,"Cu 1Oct24 Batch6_A2"
0.002,354008,"Cu 1Oct24 Batch6_A2"
0.002,341420,"Cu 1Oct24 Batch6_A2"
0.002,328351,"Cu 1Oct24 Batch6_A2"
0.0224768,313663,"Cu 1Oct24 Batch6_A2"
0.0224768,296804,"Cu 1Oct24 Batch6_A2"
0.0224768,296247,"Cu 1Oct24 Batch6_A2"
0.0224768,279623,"Cu 1Oct24 Batch6_A2"
0.041816,305962,"Cu 1Oct24 Batch6_A2"
0.041816,277999,"Cu 1Oct24 Batch6_A2"
0.041816,289899,"Cu 1Oct24 Batch6_A2"
0.041816,292764,"Cu 1Oct24 Batch6_A2"
0.081632,256759,"Cu 1Oct24 Batch6_A2"
0.081632,285040,"Cu 1Oct24 Batch6_A2"
0.081632,256270,"Cu 1Oct24 Batch6_A2"
0.081632,290925,"Cu 1Oct24 Batch6_A2"
0.161264,208409,"Cu 1Oct24 Batch6_A2"
0.161264,185066,"Cu 1Oct24 Batch6_A2"
0.161264,188905,"Cu 1Oct24 Batch6_A2"
0.161264,216335,"Cu 1Oct24 Batch6_A2"
0.3216656,124840,"Cu 1Oct24 Batch6_A2"
0.3216656,169960,"Cu 1Oct24 Batch6_A2"
