"conc","rlu_cens","plate"
0.004,956904,"Cu 28Mar24 Rep2B"
0.004,951709,"Cu 28Mar24 Rep2B"
0.0125392,933553,"Cu 28Mar24 Rep2B"
0.0125392,907467,"Cu 28Mar24 Rep2B"
0.0125392,881653,"Cu 28Mar24 Rep2B"
0.0125392,891888,"Cu 28Mar24 Rep2B"
0.020604,922843,"Cu 28Mar24 Rep2B"
0.020604,892277,"Cu 28Mar24 Rep2B"
0.020604,894763,"Cu 28Mar24 Rep2B"
0.020604,833803,"Cu 28Mar24 Rep2B"
0.037208,745130,"Cu 28Mar24 Rep2B"
0.037208,831785,"Cu 28Mar24 Rep2B"
0.037208,783671,"Cu 28Mar24 Rep2B"
0.037208,853873,"Cu 28Mar24 Rep2B"
0.070416,718570,"Cu 28Mar24 Rep2B"
0.070416,799644,"Cu 28Mar24 Rep2B"
0.070416,725153,"Cu 28Mar24 Rep2B"
0.070416,688827,"Cu 28Mar24 Rep2B"
0.1373064,473625,"Cu 28Mar24 Rep2B"
0.1373064,482888,"Cu 28Mar24 Rep2B"
0.1373064,558855,"Cu 28Mar24 Rep2B"
0.1373064,395215,"Cu 28Mar24 Rep2B"
0.2710872,24079,"Cu 28Mar24 Rep2B"
0.2710872,42913,"Cu 28Mar24 Rep2B"
0.2710872,10527,"Cu 28Mar24 Rep2B"
0.2710872,13841,"Cu 28Mar24 Rep2B"
0.5377,2950,"Cu 28Mar24 Rep2B"
0.5377,3287,"Cu 28Mar24 Rep2B"
0.5377,7785,"Cu 28Mar24 Rep2B"
0.5377,5029,"Cu 28Mar24 Rep2B"
1.0714,21,"Cu 28Mar24 Rep2B"
1.0714,372,"Cu 28Mar24 Rep2B"
1.0714,531,"Cu 28Mar24 Rep2B"
1.0714,19,"Cu 28Mar24 Rep2B"
2.1388,19,"Cu 28Mar24 Rep2B"
2.1388,19,"Cu 28Mar24 Rep2B"
2.1388,465,"Cu 28Mar24 Rep2B"
2.1388,19,"Cu 28Mar24 Rep2B"
4.2736,19,"Cu 28Mar24 Rep2B"
4.2736,608,"Cu 28Mar24 Rep2B"
4.2736,285,"Cu 28Mar24 Rep2B"
4.2736,19,"Cu 28Mar24 Rep2B"
0.002,924893,"Cu 5Apr24 Rep3B"
0.002,970974,"Cu 5Apr24 Rep3B"
0.002,943445,"Cu 5Apr24 Rep3B"
0.002,910141,"Cu 5Apr24 Rep3B"
0.0125552,877706,"Cu 5Apr24 Rep3B"
0.0125552,923231,"Cu 5Apr24 Rep3B"
0.0125552,851004,"Cu 5Apr24 Rep3B"
0.0125552,898436,"Cu 5Apr24 Rep3B"
0.022524,878359,"Cu 5Apr24 Rep3B"
0.022524,866058,"Cu 5Apr24 Rep3B"
0.022524,834040,"Cu 5Apr24 Rep3B"
0.022524,876585,"Cu 5Apr24 Rep3B"
0.043048,849009,"Cu 5Apr24 Rep3B"
0.043048,828504,"Cu 5Apr24 Rep3B"
0.043048,875222,"Cu 5Apr24 Rep3B"
0.043048,838153,"Cu 5Apr24 Rep3B"
0.084096,691820,"Cu 5Apr24 Rep3B"
0.084096,695520,"Cu 5Apr24 Rep3B"
0.084096,728911,"Cu 5Apr24 Rep3B"
0.084096,757846,"Cu 5Apr24 Rep3B"
0.1667784,237466,"Cu 5Apr24 Rep3B"
0.1667784,329532,"Cu 5Apr24 Rep3B"
0.1667784,180266,"Cu 5Apr24 Rep3B"
0.1667784,347385,"Cu 5Apr24 Rep3B"
0.3321432,9881,"Cu 5Apr24 Rep3B"
0.3321432,11677,"Cu 5Apr24 Rep3B"
0.3321432,11681,"Cu 5Apr24 Rep3B"
0.3321432,15204,"Cu 5Apr24 Rep3B"
0.6617,2102,"Cu 5Apr24 Rep3B"
0.6617,2683,"Cu 5Apr24 Rep3B"
0.6617,976,"Cu 5Apr24 Rep3B"
0.6617,1341,"Cu 5Apr24 Rep3B"
1.3214,215,"Cu 5Apr24 Rep3B"
1.3214,542,"Cu 5Apr24 Rep3B"
1.3214,10,"Cu 5Apr24 Rep3B"
1.3214,284,"Cu 5Apr24 Rep3B"
2.6408,10,"Cu 5Apr24 Rep3B"
2.6408,10,"Cu 5Apr24 Rep3B"
2.6408,423,"Cu 5Apr24 Rep3B"
2.6408,10,"Cu 5Apr24 Rep3B"
5.2796,10,"Cu 5Apr24 Rep3B"
5.2796,10,"Cu 5Apr24 Rep3B"
5.2796,590,"Cu 5Apr24 Rep3B"
5.2796,128,"Cu 5Apr24 Rep3B"
0.002,718392,"Cu 5Apr24 Rep4B"
0.002,786634,"Cu 5Apr24 Rep4B"
0.002,719234,"Cu 5Apr24 Rep4B"
0.002,729074,"Cu 5Apr24 Rep4B"
0.0125552,631486,"Cu 5Apr24 Rep4B"
0.0125552,686102,"Cu 5Apr24 Rep4B"
0.0125552,629568,"Cu 5Apr24 Rep4B"
0.0125552,642057,"Cu 5Apr24 Rep4B"
0.022524,579323,"Cu 5Apr24 Rep4B"
0.022524,631091,"Cu 5Apr24 Rep4B"
0.022524,603481,"Cu 5Apr24 Rep4B"
0.022524,616532,"Cu 5Apr24 Rep4B"
0.043048,586303,"Cu 5Apr24 Rep4B"
0.043048,572083,"Cu 5Apr24 Rep4B"
0.043048,572219,"Cu 5Apr24 Rep4B"
0.043048,549486,"Cu 5Apr24 Rep4B"
0.084096,397758,"Cu 5Apr24 Rep4B"
0.084096,442190,"Cu 5Apr24 Rep4B"
0.084096,367284,"Cu 5Apr24 Rep4B"
0.084096,401968,"Cu 5Apr24 Rep4B"
0.1667784,78900,"Cu 5Apr24 Rep4B"
0.1667784,49234,"Cu 5Apr24 Rep4B"
0.1667784,50997,"Cu 5Apr24 Rep4B"
0.1667784,51135,"Cu 5Apr24 Rep4B"
0.3321432,3428,"Cu 5Apr24 Rep4B"
0.3321432,2542,"Cu 5Apr24 Rep4B"
0.3321432,2117,"Cu 5Apr24 Rep4B"
0.3321432,4889,"Cu 5Apr24 Rep4B"
0.6617,2268,"Cu 5Apr24 Rep4B"
0.6617,259,"Cu 5Apr24 Rep4B"
0.6617,6,"Cu 5Apr24 Rep4B"
0.6617,929,"Cu 5Apr24 Rep4B"
1.3214,6,"Cu 5Apr24 Rep4B"
1.3214,6,"Cu 5Apr24 Rep4B"
1.3214,1245,"Cu 5Apr24 Rep4B"
1.3214,26,"Cu 5Apr24 Rep4B"
2.6408,6,"Cu 5Apr24 Rep4B"
2.6408,6,"Cu 5Apr24 Rep4B"
2.6408,6,"Cu 5Apr24 Rep4B"
2.6408,6,"Cu 5Apr24 Rep4B"
5.2796,40,"Cu 5Apr24 Rep4B"
5.2796,1219,"Cu 5Apr24 Rep4B"
5.2796,6,"Cu 5Apr24 Rep4B"
5.2796,196,"Cu 5Apr24 Rep4B"
0.002,828785,"Cu 5Apr24 Rep5B"
0.002,710561,"Cu 5Apr24 Rep5B"
0.002,758438,"Cu 5Apr24 Rep5B"
0.002,678984,"Cu 5Apr24 Rep5B"
0.0125552,670891,"Cu 5Apr24 Rep5B"
0.0125552,697808,"Cu 5Apr24 Rep5B"
0.0125552,624708,"Cu 5Apr24 Rep5B"
0.0125552,614552,"Cu 5Apr24 Rep5B"
0.022524,662128,"Cu 5Apr24 Rep5B"
0.022524,631880,"Cu 5Apr24 Rep5B"
0.022524,644247,"Cu 5Apr24 Rep5B"
0.022524,614914,"Cu 5Apr24 Rep5B"
0.043048,613544,"Cu 5Apr24 Rep5B"
0.043048,589709,"Cu 5Apr24 Rep5B"
0.043048,580509,"Cu 5Apr24 Rep5B"
0.043048,533139,"Cu 5Apr24 Rep5B"
0.084096,414173,"Cu 5Apr24 Rep5B"
0.084096,445762,"Cu 5Apr24 Rep5B"
0.084096,418695,"Cu 5Apr24 Rep5B"
0.084096,440182,"Cu 5Apr24 Rep5B"
0.1667784,139296,"Cu 5Apr24 Rep5B"
0.1667784,111087,"Cu 5Apr24 Rep5B"
0.1667784,82569,"Cu 5Apr24 Rep5B"
0.1667784,80505,"Cu 5Apr24 Rep5B"
0.3321432,5969,"Cu 5Apr24 Rep5B"
0.3321432,5895,"Cu 5Apr24 Rep5B"
0.3321432,1920,"Cu 5Apr24 Rep5B"
0.3321432,1716,"Cu 5Apr24 Rep5B"
0.6617,1695,"Cu 5Apr24 Rep5B"
0.6617,2027,"Cu 5Apr24 Rep5B"
0.6617,1083,"Cu 5Apr24 Rep5B"
0.6617,1340,"Cu 5Apr24 Rep5B"
1.3214,12,"Cu 5Apr24 Rep5B"
1.3214,86,"Cu 5Apr24 Rep5B"
1.3214,377,"Cu 5Apr24 Rep5B"
1.3214,12,"Cu 5Apr24 Rep5B"
2.6408,12,"Cu 5Apr24 Rep5B"
2.6408,12,"Cu 5Apr24 Rep5B"
2.6408,12,"Cu 5Apr24 Rep5B"
2.6408,12,"Cu 5Apr24 Rep5B"
5.2796,650,"Cu 5Apr24 Rep5B"
5.2796,12,"Cu 5Apr24 Rep5B"
5.2796,12,"Cu 5Apr24 Rep5B"
5.2796,207,"Cu 5Apr24 Rep5B"
