"herbicide","log_estimate","log_lower","log_upper","estimate","lower","upper"
"ametryn",-1.64763677543547,-2.11844098769535,-0.45321950825,0.192504302388202,0.120218905242686,0.635578603565969
"atrazine",0.136506536426631,-1.23630980095087,0.963726032259509,1.14626237021116,0.290454076085608,2.62144589077741
"diuron",-1.86560612431268,-2.20925455674598,-1.61244321113132,0.154802351973808,0.109782454611022,0.199399842538485
"hexazinone",-0.457666098175353,-1.46242540588794,0.480192566147562,0.632758720229265,0.231673690025551,1.61638563338003
"irgarol",-1.99301280446052,-2.23855958712282,-1.76236520821751,0.136284208626992,0.106611959072372,0.171638422745721
"simazine",1.46698687528742,0.0427552276907461,2.43822617807639,4.33615007654385,1.0436823990318,11.4527076505686
"tebuthiuron",2.42172555139856,1.97451582695512,2.64136757843719,11.2652813752132,7.20313124740375,14.0323808730419
