"model","value"
"Cu",0.0664952016145578
"Cu",0.0752565130330399
"Cu",0.0803962121433273
"Cu",0.0559263047290305
"Cu",0.0686805435344528
"Cu",0.0913311921061067
"Cu",0.0765922216972486
"Cu",0.0583691376463528
"Cu",0.0826902643575889
"Cu",0.0764578246003908
"Cu",0.0783183993320714
"Cu",0.0757923476319509
"Cu",0.0819000740931124
"Cu",0.0759302940083247
"Cu",0.0811261667833296
"Cu",0.0800555758031651
"Cu",0.0740220404500145
"Cu",0.0667690686290751
"Cu",0.0749037075608948
"Cu",0.0698099413144497
"Cu",0.0774922947571014
"Cu",0.0655880848715182
"Cu",0.0616920813766847
"Cu",0.0789558160178227
"Cu",0.0605215275066902
"Cu",0.0606916219119621
"Cu",0.0759463830016359
"Cu",0.0621874510131482
"Cu",0.0600529327239739
"Cu",0.0815828231587178
"Cu",0.0770583943734061
"Cu",0.0719306748841051
"Cu",0.0736114898261773
"Cu",0.0405733302181793
"Cu",0.0743120024248101
"Cu",0.0764387955858787
"Cu",0.0681371548044909
"Cu",0.0839002995991631
"Cu",0.0800271295623499
"Cu",0.0603895890272041
"Cu",0.0849795186873852
"Cu",0.0779577059978366
"Cu",0.0820592376168224
"Cu",0.0792853084433769
"Cu",0.0661006303980767
"Cu",0.0446462170748043
"Cu",0.0779051017523508
"Cu",0.0735644599308695
"Cu",0.0761516692487141
"Cu",0.0599878029558901
"Cu",0.0743542108135605
"Cu",0.0566758230073056
"Cu",0.0758658631787633
"Cu",0.0727725776782087
"Cu",0.0308460317348981
"Cu",0.0804368676138597
"Cu",0.0765305089685781
"Cu",0.0800329718309568
"Cu",0.0660661652017959
"Cu",0.0936571881100562
"Cu",0.0667257625227295
"Cu",0.0870966764855911
"Cu",0.0701626013908763
"Cu",0.0814884302250895
"Cu",0.0718225217628859
"Cu",0.0676861816741974
"Cu",0.0631901847630039
"Cu",0.0526541892502084
"Cu",0.074363862922041
"Cu",0.061301636186682
"Cu",0.0777905488124145
"Cu",0.0757918422455111
"Cu",0.0725437194647235
"Cu",0.0745596566756268
"Cu",0.0829866746995363
"Cu",0.0646388303847829
"Cu",0.0769344779466117
"Cu",0.0706727920067051
"Cu",0.0787591157589921
"Cu",0.0714849876826631
"Cu",0.0829099084220313
"Cu",0.0703572322922767
"Cu",0.0853692359510829
"Cu",0.0714476320768744
"Cu",0.0957349170912005
"Cu",0.0817320102731724
"Cu",0.0847232498380455
"Cu",0.0766917883207099
"Cu",0.0581547956579519
"Cu",0.0740060887925403
"Cu",0.065085837100791
"Cu",0.0756537902779404
"Cu",0.0550337887919431
"Cu",0.0716635096913514
"Cu",0.087144574847041
"Cu",0.0708574424482122
"Cu",0.0677209707556203
"Cu",0.0793140528711151
"Cu",0.0687439924576674
"Cu",0.0693396134316699
"Cu",0.0763252886661245
"Cu",0.0810589550173911
"Cu",0.0707453726916897
"Cu",0.0777101026531951
"Cu",0.0764843174125688
"Cu",0.0720316689337036
"Cu",0.0729213544431383
"Cu",0.072510532301158
"Cu",0.0890426670594284
"Cu",0.0678394673894367
"Cu",0.0554709835108444
"Cu",0.0791698379177539
"Cu",0.0764330340222166
"Cu",0.0851048744627497
"Cu",0.0711170840211659
"Cu",0.0649395309510096
"Cu",0.0752753431277736
"Cu",0.080561648444674
"Cu",0.0600422793978753
"Cu",0.0839911554112945
"Cu",0.0686462299727037
"Cu",0.0678215481551872
"Cu",0.0785383245121319
"Cu",0.0760334193797193
"Cu",0.0832278327175258
"Cu",0.0737300783943749
"Cu",0.0586021445018024
"Cu",0.081267836719273
"Cu",0.084564704540815
"Cu",0.0659963047506065
"Cu",0.078725778874108
"Cu",0.0706157982961567
"Cu",0.0933576129659194
"Cu",0.0759913993460689
"Cu",0.0856985755618684
"Cu",0.0748660227276041
"Cu",0.0882146484242937
"Cu",0.0768893204078982
"Cu",0.0789040723637399
"Cu",0.0816846591410333
"Cu",0.0782941272949794
"Cu",0.0835667960453979
"Cu",0.0849587517155933
"Cu",0.07767848978444
"Cu",0.0753065837600967
"Cu",0.0716912881575269
"Cu",0.0668064073779044
"Cu",0.078565496321118
"Cu",0.0673520605414304
"Cu",0.0472502309064787
"Cu",0.0568542975246612
"Cu",0.0835427249027979
"Cu",0.0898770231165168
"Cu",0.0776744669182679
"Cu",0.0819559039919949
"Cu",0.0383919254992119
"Cu",0.0678666792168113
"Cu",0.0812604190990649
"Cu",0.0799439217053125
"Cu",0.002
"Cu",0.0929574327698856
"Cu",0.0791575727544266
"Cu",0.0799913594364839
"Cu",0.0876700115912244
"Cu",0.0910529080591116
"Cu",0.0708014851961969
"Cu",0.0670914837587545
"Cu",0.0747752057745785
"Cu",0.0786516795833822
"Cu",0.0813593622613589
"Cu",0.0657435130563979
"Cu",0.0543180033558747
"Cu",0.0783711419453113
"Cu",0.0751942084393368
"Cu",0.0854991829085405
"Cu",0.062623760811821
"Cu",0.0894530604862555
"Cu",0.0593895742220008
"Cu",0.0769107630743872
"Cu",0.0854751933392339
"Cu",0.0863584606438457
"Cu",0.0783176583104994
"Cu",0.0758145805903718
"Cu",0.0792366639072752
"Cu",0.0578508979252811
"Cu",0.0832219412532166
"Cu",0.0860582426332591
"Cu",0.0764933383096653
"Cu",0.0631744955196694
"Cu",0.067794792205777
"Cu",0.0814437075492282
"Cu",0.0666501663139564
"Cu",0.077537851550454
"Cu",0.0866458827109737
"Cu",0.081987404650694
"Cu",0.0737344468919597
"Cu",0.0743524682426404
"Cu",0.0729565832273443
"Cu",0.0807401806922572
"Cu",0.0920709451040885
"Cu",0.0923032443261074
"Cu",0.0707731539264949
"Cu",0.0948184282579039
"Cu",0.0876496401856702
"Cu",0.074849019824106
"Cu",0.0769578675156997
"Cu",0.0682554048591084
"Cu",0.0828356940462089
