"model","concentration","Estimate","Q2.5","Q97.5"
"nec3param",0.1,0.646490735,0.62703376175,0.66617284325
"nec3param",0.100804658307517,0.646490735,0.62703376175,0.66617284325
"nec3param",0.101615791364953,0.646490735,0.62703376175,0.66617284325
"nec3param",0.102433451271921,0.646490735,0.62703376175,0.66617284325
"nec3param",0.103257690547257,0.646490735,0.62703376175,0.66617284325
"nec3param",0.104088562132396,0.646490735,0.62703376175,0.66617284325
"nec3param",0.10492611939477,0.646490735,0.62703376175,0.66617284325
"nec3param",0.105770416131236,0.646490735,0.62703376175,0.66617284325
"nec3param",0.106621506571531,0.646490735,0.62703376175,0.66617284325
"nec3param",0.107479445381759,0.646490735,0.62703376175,0.66617284325
"nec3param",0.108344287667897,0.646490735,0.62703376175,0.66617284325
"nec3param",0.109216088979337,0.646490735,0.62703376175,0.66617284325
"nec3param",0.110094905312455,0.646490735,0.62703376175,0.66617284325
"nec3param",0.110980793114205,0.646490735,0.62703376175,0.66617284325
"nec3param",0.111873809285747,0.646490735,0.62703376175,0.66617284325
"nec3param",0.112774011186101,0.646490735,0.62703376175,0.66617284325
"nec3param",0.113681456635831,0.646490735,0.62703376175,0.66617284325
"nec3param",0.114596203920758,0.646490735,0.62703376175,0.66617284325
"nec3param",0.115518311795706,0.646490735,0.62703376175,0.66617284325
"nec3param",0.116447839488274,0.646490735,0.62703376175,0.66617284325
"nec3param",0.11738484670264,0.646490735,0.62703376175,0.66617284325
"nec3param",0.1183293936234,0.646490735,0.62703376175,0.66617284325
"nec3param",0.119281540919425,0.646490735,0.62703376175,0.66617284325
"nec3param",0.120241349747768,0.646490735,0.62703376175,0.66617284325
"nec3param",0.121208881757585,0.646490735,0.62703376175,0.66617284325
"nec3param",0.122184199094096,0.646490735,0.62703376175,0.66617284325
"nec3param",0.12316736440258,0.646490735,0.62703376175,0.66617284325
"nec3param",0.124158440832396,0.646490735,0.62703376175,0.66617284325
"nec3param",0.125157492041038,0.646490735,0.62703376175,0.66617284325
"nec3param",0.126164582198226,0.646490735,0.62703376175,0.66617284325
"nec3param",0.127179775990029,0.646490735,0.62703376175,0.66617284325
"nec3param",0.128203138623014,0.646490735,0.62703376175,0.66617284325
"nec3param",0.129234735828443,0.646490735,0.62703376175,0.66617284325
"nec3param",0.130274633866484,0.646490735,0.62703376175,0.66617284325
"nec3param",0.131322899530479,0.646490735,0.62703376175,0.66617284325
"nec3param",0.132379600151223,0.646490735,0.62703376175,0.66617284325
"nec3param",0.133444803601298,0.646490735,0.62703376175,0.66617284325
"nec3param",0.134518578299427,0.646490735,0.62703376175,0.66617284325
"nec3param",0.135600993214867,0.646490735,0.62703376175,0.66617284325
"nec3param",0.136692117871847,0.646490735,0.62703376175,0.66617284325
"nec3param",0.137792022354024,0.646490735,0.62703376175,0.66617284325
"nec3param",0.138900777308992,0.646490735,0.62703376175,0.66617284325
"nec3param",0.140018453952815,0.646490735,0.62703376175,0.66617284325
"nec3param",0.141145124074603,0.646490735,0.62703376175,0.66617284325
"nec3param",0.142280860041125,0.646490735,0.62703376175,0.66617284325
"nec3param",0.143425734801453,0.646490735,0.62703376175,0.66617284325
"nec3param",0.144579821891651,0.646490735,0.62703376175,0.66617284325
"nec3param",0.145743195439496,0.646490735,0.62703376175,0.66617284325
"nec3param",0.146915930169241,0.646490735,0.62703376175,0.66617284325
"nec3param",0.148098101406414,0.646490735,0.62703376175,0.66617284325
"nec3param",0.149289785082657,0.646490735,0.62703376175,0.66617284325
"nec3param",0.150491057740599,0.646490735,0.62703376175,0.66617284325
"nec3param",0.151701996538779,0.646490735,0.62703376175,0.66617284325
"nec3param",0.152922679256598,0.646490735,0.62703376175,0.66617284325
"nec3param",0.154153184299315,0.646490735,0.62703376175,0.66617284325
"nec3param",0.155393590703082,0.646490735,0.62703376175,0.66617284325
"nec3param",0.156643978140024,0.646490735,0.62703376175,0.66617284325
"nec3param",0.157904426923353,0.646490735,0.62703376175,0.66617284325
"nec3param",0.15917501801253,0.646490735,0.62703376175,0.66617284325
"nec3param",0.16045583301846,0.646490735,0.62703376175,0.66617284325
"nec3param",0.161746954208739,0.646490735,0.62703376175,0.66617284325
"nec3param",0.163048464512936,0.646490735,0.62703376175,0.66617284325
"nec3param",0.164360447527919,0.646490735,0.62703376175,0.66617284325
"nec3param",0.165682987523225,0.646490735,0.62703376175,0.66617284325
"nec3param",0.167016169446473,0.646490735,0.62703376175,0.66617284325
"nec3param",0.168360078928822,0.646490735,0.62703376175,0.66617284325
"nec3param",0.169714802290465,0.646490735,0.62703376175,0.66617284325
"nec3param",0.171080426546182,0.646490735,0.62703376175,0.66617284325
"nec3param",0.172457039410922,0.646490735,0.62703376175,0.66617284325
"nec3param",0.17384472930544,0.646490735,0.62703376175,0.66617284325
"nec3param",0.175243585361978,0.646490735,0.62703376175,0.66617284325
"nec3param",0.176653697429984,0.646490735,0.62703376175,0.66617284325
"nec3param",0.178075156081891,0.646490735,0.62703376175,0.66617284325
"nec3param",0.179508052618929,0.646490735,0.62703376175,0.66617284325
"nec3param",0.180952479076989,0.646490735,0.62703376175,0.66617284325
"nec3param",0.182408528232541,0.646490735,0.62703376175,0.66617284325
"nec3param",0.183876293608584,0.646490735,0.62703376175,0.66617284325
"nec3param",0.185355869480661,0.646490735,0.62703376175,0.66617284325
"nec3param",0.186847350882908,0.646490735,0.62703376175,0.66617284325
"nec3param",0.188350833614163,0.646490735,0.62703376175,0.66617284325
"nec3param",0.189866414244118,0.646490735,0.62703376175,0.66617284325
"nec3param",0.191394190119519,0.646490735,0.62703376175,0.66617284325
"nec3param",0.192934259370421,0.646490735,0.62703376175,0.66617284325
"nec3param",0.194486720916492,0.646490735,0.62703376175,0.66617284325
"nec3param",0.196051674473365,0.646490735,0.62703376175,0.66617284325
"nec3param",0.197629220559042,0.646490735,0.62703376175,0.66617284325
"nec3param",0.199219460500352,0.646490735,0.62703376175,0.66617284325
"nec3param",0.200822496439459,0.646490735,0.62703376175,0.66617284325
"nec3param",0.202438431340423,0.646490735,0.62703376175,0.66617284325
"nec3param",0.204067368995811,0.646490735,0.62703376175,0.66617284325
"nec3param",0.205709414033368,0.646490735,0.62703376175,0.66617284325
"nec3param",0.207364671922733,0.646490735,0.62703376175,0.66617284325
"nec3param",0.209033248982215,0.646490735,0.62703376175,0.66617284325
"nec3param",0.210715252385624,0.646490735,0.62703376175,0.66617284325
"nec3param",0.212410790169151,0.646490735,0.62703376175,0.66617284325
"nec3param",0.214119971238311,0.646490735,0.62703376175,0.66617284325
"nec3param",0.215842905374934,0.646490735,0.62703376175,0.66617284325
"nec3param",0.21757970324422,0.646490735,0.62703376175,0.66617284325
"nec3param",0.219330476401846,0.646490735,0.62703376175,0.66617284325
"nec3param",0.221095337301131,0.646490735,0.62703376175,0.66617284325
"nec3param",0.222874399300258,0.646490735,0.62703376175,0.66617284325
"nec3param",0.224667776669557,0.646490735,0.62703376175,0.66617284325
