"fit","grouping","term","Estimate","Est.Error","Q2.5","Q97.5"
"ogl(plate)","plate","ogl_Intercept",0.424,0.08,0.299,0.61
"pgl(plate)","plate","beta_Intercept",0.116,0.033,0.063,0.19
"pgl(plate)","plate","ec50_Intercept",0.356,0.074,0.246,0.533
"pgl(plate)","plate","botgl_Intercept",0.648,0.175,0.357,1.051
"pgl(plate)","plate","topgl_Intercept",0.465,0.087,0.331,0.668
"ogl(plate) + (ec50 | batch)","batch","ec50_Intercept",0.509,0.229,0.243,1.067
"ogl(plate) + (ec50 | batch)","plate","ogl_Intercept",0.476,0.089,0.335,0.683
