"","log_x","plateRep","y"
"82",3.80666249,"Lum_27C_rep2_qtoxB",0.096016705182
"83",3.80666249,"Lum_27C_rep2_qtoxB",0.098299157445
"84",3.80666249,"Lum_27C_rep2_qtoxB",0.103095953847
"85",4.49980967,"Lum_27C_rep2_qtoxB",0.07797595599
"86",4.49980967,"Lum_27C_rep2_qtoxB",0.103293974628
"87",4.49980967,"Lum_27C_rep2_qtoxB",0.093830658417
"88",4.49980967,"Lum_27C_rep2_qtoxB",0.08837987166
"89",-2.407945609,"Lum_27C_rep3_qtoxB",0.864266189679
"90",-2.407945609,"Lum_27C_rep3_qtoxB",0.866185370577
"91",-2.407945609,"Lum_27C_rep3_qtoxB",0.965011641381
"92",-2.407945609,"Lum_27C_rep3_qtoxB",0.861693475968
"93",-1.714798428,"Lum_27C_rep3_qtoxB",0.829150255764
"94",-1.714798428,"Lum_27C_rep3_qtoxB",0.846786462903
"95",-1.714798428,"Lum_27C_rep3_qtoxB",0.982348695972
"96",-1.714798428,"Lum_27C_rep3_qtoxB",0.834668474022
"97",-1.049822124,"Lum_27C_rep3_qtoxB",0.962540179317
"98",-1.049822124,"Lum_27C_rep3_qtoxB",0.845368938846
"99",-1.049822124,"Lum_27C_rep3_qtoxB",0.82483325109
"100",-1.049822124,"Lum_27C_rep3_qtoxB",0.836794759608
"101",-0.356674944,"Lum_27C_rep3_qtoxB",0.897117767217
"102",-0.356674944,"Lum_27C_rep3_qtoxB",0.867046010076
"103",-0.356674944,"Lum_27C_rep3_qtoxB",0.999
"104",-0.356674944,"Lum_27C_rep3_qtoxB",0.943721168166
"105",0.336472237,"Lum_27C_rep3_qtoxB",0.89073890946
"106",0.336472237,"Lum_27C_rep3_qtoxB",0.75988027908
"107",0.336472237,"Lum_27C_rep3_qtoxB",0.862370021745
"108",0.336472237,"Lum_27C_rep3_qtoxB",0.993316097592
"109",1.033184483,"Lum_27C_rep3_qtoxB",0.756041918283
"110",1.033184483,"Lum_27C_rep3_qtoxB",0.769259869101
"111",1.033184483,"Lum_27C_rep3_qtoxB",0.743440683132
"112",1.033184483,"Lum_27C_rep3_qtoxB",0.734420075769
"113",1.728109442,"Lum_27C_rep3_qtoxB",0.431295466806
"114",1.728109442,"Lum_27C_rep3_qtoxB",0.500252484762
"115",1.728109442,"Lum_27C_rep3_qtoxB",0.51073203672
"116",1.728109442,"Lum_27C_rep3_qtoxB",0.436486918158
"117",2.420368129,"Lum_27C_rep3_qtoxB",0.299884554261
"118",2.420368129,"Lum_27C_rep3_qtoxB",0.285865795053
"119",2.420368129,"Lum_27C_rep3_qtoxB",0.317184789708
"120",2.420368129,"Lum_27C_rep3_qtoxB",0.288019694997
"121",3.113515309,"Lum_27C_rep3_qtoxB",0.181806650361
"122",3.113515309,"Lum_27C_rep3_qtoxB",0.202655297844
"123",3.113515309,"Lum_27C_rep3_qtoxB",0.168768191871
"124",3.113515309,"Lum_27C_rep3_qtoxB",0.18805203972
"125",3.80666249,"Lum_27C_rep3_qtoxB",0.075289851783
"126",3.80666249,"Lum_27C_rep3_qtoxB",0.077351703867
"127",3.80666249,"Lum_27C_rep3_qtoxB",0.07581451959
"128",3.80666249,"Lum_27C_rep3_qtoxB",0.07899014079
"129",4.49980967,"Lum_27C_rep3_qtoxB",0.065367183384
"130",4.49980967,"Lum_27C_rep3_qtoxB",0.08838353799
"131",4.49980967,"Lum_27C_rep3_qtoxB",0.071704620603
"132",4.49980967,"Lum_27C_rep3_qtoxB",0.060548522868
"133",-2.407945609,"Lum_27C_rep4_qtoxB",0.861948830358
