"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"binomial","ecxwb1",1069.16319324439,0.396299477297386,1.00115641553539,3713.02651649485,0.464128314561856,0,FALSE,8,2,7,2.01262041785719,0.40463063133157,22.5
"binomial","ecxll3",1079.43588845092,0.13683965077904,1.00175714518921,4160.09116934074,0.520011396167592,0,FALSE,8,4,8,2.01961125310101,0.156806926447063,22.5
"binomial","nechormepwr01",1089.71667134292,0.0788640395387413,1.0024326511304,3023.02859906789,0.377878574883486,0,FALSE,8,4,7,1.98716643104637,0.0878847946454451,22.5
"binomial","ecxwb1p3",1127.3377926895,0.0784351745189487,1.00075485166746,3900.06337421744,0.487507921777181,0,FALSE,8,4,8,2.00414393227764,0.0870197631175143,22.5
"binomial","nechorme4",1092.37719136316,0.0768634130951193,1.00169550645381,2496.38357087704,0.31204794635963,0,FALSE,8,4,7,1.99060557341637,0.0725991291636435,22.5
"binomial","nec4param",1092.82555488588,0.0567518022079543,1.00140636411468,2621.88175462474,0.327735219328093,0,FALSE,8,4,7,1.99587655612023,0.0542272494324418,22.5
"binomial","ecxhormebc4",1083.12619080429,0.0461938167431074,1.00264405233142,2756.17487452832,0.34452185931604,50,TRUE,8,4,8,2.01703595280364,NA,22.5
"binomial","nechorme",1092.22910192651,0.0439905270466462,1.00233276369769,3031.35405643413,0.378919257054266,3,FALSE,8,4,7,1.9893611896999,0.0469790678947788,22.5
"binomial","nec3param",1089.58385414209,0.0355635452406447,1.0014964802148,3683.05361392953,0.460381701741191,0,FALSE,8,4,7,1.98641169788535,0.0379658023148489,22.5
"binomial","ecxll4",1079.03771544111,0.0258717428777614,1.00144189716271,3576.36468468251,0.447045585585314,0,FALSE,8,1,7,1.99466531589506,0.0252438066257661,22.5
"binomial","ecxwb2p3",1102.39231686305,0.0204252078341962,1.00175683101811,3381.6243553036,0.42270304441295,0,FALSE,8,3,7,2.00633940132118,0.0230068834451466,22.5
"binomial","ecx4param",1083.1016644245,0.00390086934326693,1.0006242610587,3628.16069184677,0.453520086480846,0,FALSE,8,2,7,2.00030496946221,0.00363546331159328,22.5
"binomial","ecxwb2",1119.35936553047,7.33477187737317e-07,1.00169820182423,1802.39240443197,0.225299050553997,0,FALSE,8,4,7,1.99059752121877,4.82270188508171e-07,22.5
"binomial","ecxexp",2593.01999986568,5.66097541467705e-134,1.00072986312673,3847.76363551411,0.480970454439263,0,FALSE,8,8,8,2.22010483406927,3.93585552370211e-82,22.5
