"model","reason"
"neclin","not valid for negbinomial with an identity link"
"neclinhorme","not valid for negbinomial with an identity link"
"nechormepwr01","not valid for negbinomial with an identity link"
"ecxlin","not valid for negbinomial with an identity link"
"necsigm","raises the predictor to a fractional power, which is undefined for negative predictor values"
"nechormepwr","raises the predictor to a fractional power, which is undefined for negative predictor values"
"nechorme4pwr","raises the predictor to a fractional power, which is undefined for negative predictor values"
"ecxsigm","raises the predictor to a fractional power, which is undefined for negative predictor values"
"ecxhormebc5","cannot be reliably initialised for negbinomial with an identity link when the predictor contains negative values"
