"model","reason"
"neclin","decays by subtraction, so its mean is unbounded below for binomial with an identity link"
"neclinhorme","decays by subtraction, so its mean is unbounded below for binomial with an identity link"
"ecxlin","decays by subtraction, so its mean is unbounded below for binomial with an identity link"
"nechormepwr","unscaled power term, unbounded for binomial"
"nechorme4pwr","unscaled power term, unbounded for binomial"
"necsigm","raises the predictor to a fractional power, which is undefined for negative predictor values"
"ecxsigm","raises the predictor to a fractional power, which is undefined for negative predictor values"
"ecxhormebc5","cannot be reliably initialised for binomial with an identity link when the predictor contains negative values"
