"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"gaussian_b_ad","ecxwb1",-434.205244865004,0.606308087942362,1.00290556068665,1693.03686387878,0.211629607984847,0,FALSE,13,3,1,1.04044212048723,0.606308087942362,3.4
"gaussian_b_ad","ecxll4",-431.711704737112,0.209907528281544,1.00161455025842,1283.92817942167,0.160491022427709,0,FALSE,13,2,2,1.0777856411643,0.209907528281544,3.4
"gaussian_b_ad","ecx4param",-431.433520928738,0.183784383776094,1.00259960169711,1578.39475230467,0.197299344038083,0,FALSE,13,2,1,1.07875170064254,0.183784383776094,3.4
