"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"betabinomial","ecxwb2p3",380.859478231824,0.137378370662207,1.00078551475588,3662.26814261518,0.457783517826897,0,FALSE,8,0,1,1.33575460144326,0.302700134408367,22.1
"betabinomial","ecxll3",381.228696509221,0.134292325933445,1.00066659259213,3518.85000588589,0.439856250735737,0,FALSE,8,0,0,1.26362112115528,0.274770641509009,22.1
"betabinomial","ecxwb1",381.329968718146,0.112078425312169,1.0035839603004,320.584909548326,0.0400731136935407,18,TRUE,8,0,1,1.47518987692214,NA,22.1
"betabinomial","ecxhormebc4",381.772958676117,0.100362738761848,1.00195588802196,1905.11011673814,0.238138764592268,215,TRUE,8,0,0,1.22216474570913,NA,22.1
"betabinomial","ecxll4",381.496956516051,0.0952138287239787,1.00102924447918,1422.11532261019,0.177764415326274,11,TRUE,8,0,1,1.48538991306682,NA,22.1
"betabinomial","ecx4param",381.524155229802,0.0938578847129209,1.00161292306845,1637.09677339617,0.204637096674521,25,TRUE,8,0,1,1.4870572985778,NA,22.1
"betabinomial","ecxwb1p3",383.978826814046,0.0680837692358272,1.00118803706113,3462.12542794915,0.432765678493644,0,FALSE,8,0,0,1.26142041606217,0.126892394386668,22.1
"betabinomial","ecxwb2",382.583024971266,0.0614890717583786,1.02885808414525,52.0132269462031,0.00650165336827539,172,TRUE,8,0,1,1.48403289399992,NA,22.1
"betabinomial","nec3param",383.119821485075,0.0492702835191551,1.00200082693096,2266.57242305939,0.283321552882423,0,FALSE,8,0,1,1.40648552297285,0.119400931562083,22.1
"betabinomial","nec4param",383.867126647974,0.0400603778067445,1.01381120828974,98.1901580812357,0.0122737697601545,11,TRUE,8,0,1,1.54820368327806,NA,22.1
"betabinomial","nechorme",383.77040691686,0.0381278600923345,1.00153341102895,1880.81151843933,0.235101439804916,32,TRUE,8,0,1,1.42200840161957,NA,22.1
"betabinomial","nechormepwr01",383.761865136863,0.0379947816282886,1.00181518807141,1762.95220162975,0.220369025203718,2,FALSE,8,0,1,1.46365382448347,0.0894438009260217,22.1
"betabinomial","nechorme4",384.524798508502,0.0317902398407845,1.00325395188812,550.928764706912,0.0688660955883641,10,FALSE,8,0,1,1.50972927149702,0.0867920972078514,22.1
"betabinomial","ecxexp",425.888097578238,4.20119179444413e-08,1.00147685839305,1132.86480296748,0.141608100370935,68,TRUE,8,3,2,1.24360475183415,NA,22.1
