"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"negbinomial_b","ecxwb1",1207.62507542962,0.881800336039586,1.00174464626743,2604.31093813357,0.325538867266697,0,FALSE,13,2,1,1.07031527174759,0.869223586034115,15.7
"negbinomial_b","ecxwb1p3",1217.24284226535,0.101696885009246,1.00070648984107,3019.93082719595,0.377491353399493,0,FALSE,13,3,2,1.15517319697705,0.111444851815256,15.7
"negbinomial_b","ecxhormebc4",1230.74910128787,0.00725831219231658,1.001358379068,3321.31494129757,0.415164367662196,102,TRUE,13,2,3,1.22065919243417,NA,15.7
"negbinomial_b","ecxll3",1230.83432960816,0.00685972626114929,1.00101985462903,3098.97458551681,0.387371823189602,0,FALSE,13,2,3,1.20972355041842,0.0141449404447356,15.7
"negbinomial_b","ecxll4",1235.24131051266,0.0011995279784372,1.00116980901603,3296.75362113343,0.412094202641678,0,FALSE,13,2,3,1.23842286649719,0.0026216200172204,15.7
"negbinomial_b","ecx4param",1235.18292640632,0.00118521233061178,1.00114058251042,3239.52220855287,0.404940276069109,0,FALSE,13,2,3,1.25688049174051,0.00256499914135478,15.7
"negbinomial_b","ecxwb2p3",1272.51954594857,1.663798832886e-10,1.00075254432387,3433.94041585432,0.42924255198179,0,FALSE,13,2,5,1.55296544449612,2.18103716192961e-09,15.7
"negbinomial_b","ecxwb2",1277.02923871929,2.22733525216374e-11,1.00184152241044,3245.60687459593,0.405700859324491,0,FALSE,13,2,5,1.60984194368087,3.66280859102714e-10,15.7
"negbinomial_b","nec3param",1309.09923649731,1.44184332481674e-17,1.00119788041338,3338.0791383448,0.4172598922931,0,FALSE,13,2,7,1.82361862492121,2.14209617590418e-16,15.7
"negbinomial_b","nechorme",1309.56088592714,1.16808052527692e-17,1.00138158108195,3418.46708951649,0.427308386189561,16,TRUE,13,2,7,1.81781025212789,NA,15.7
"negbinomial_b","nec4param",1313.66230943421,1.47504685434945e-18,1.00082718832311,3597.91561075462,0.449739451344327,0,FALSE,13,3,7,1.87380396235123,3.68847863126714e-17,15.7
"negbinomial_b","nechorme4",1314.06838683844,1.21347896536475e-18,1.0010480022555,3120.62086327184,0.39007760790898,7,FALSE,13,2,6,1.84397340737573,3.12687952149352e-17,15.7
"negbinomial_b","ecxexp",1504.03433616219,3.94386962525114e-55,1.0029248775518,919.594680785275,0.114949335098159,0,FALSE,13,2,13,4.52058342552415,2.60485425035089e-56,15.7
